"","id","birth_year","education","marital_status","income","kids_in_home","teens_in_home","cust_enrollment_date","days_since_last_purchase","fruit_purchases","meat_purchases","fish_purchases","candy_purchases","sale_purchases","web_purchases","catalog_purchases","in_store_purchases","web_visits_monthly","complaint","marketing_cost_z_score","revenue_z_score"
"22",1993,1949,"PhD","Married",58607,0,1,"23-12-2012",63,0,86,0,0,3,2,3,9,8,0,3,11
"23",4047,1954,"PhD","Married",65324,0,1,"11-01-2014",0,0,102,21,32,3,6,2,9,4,0,3,11
"24",1409,1951,"Graduation","Together",40689,0,1,"18-03-2013",69,3,27,39,6,7,7,1,5,8,0,3,11
"25",7892,1969,"Graduation","Single",18589,0,0,"02-01-2013",89,4,25,15,12,2,2,1,3,7,0,3,11
"26",2404,1976,"Graduation","Married",53359,1,1,"27-05-2013",4,4,30,3,6,4,5,1,4,7,0,3,11
"27",9422,1989,"Graduation","Married",38360,1,0,"31-05-2013",26,2,42,20,21,2,2,1,4,3,0,3,11
"28",1966,1965,"PhD","Married",84618,0,0,"22-11-2013",96,100,801,21,66,1,6,9,10,2,0,3,11
"29",6864,1989,"Master","Divorced",10979,0,0,"22-05-2014",34,4,10,2,2,2,3,0,3,5,0,3,11
"30",3033,1963,"Master","Together",38620,0,0,"11-05-2013",56,17,44,34,22,1,2,5,3,3,0,3,11
"31",5710,1970,"Graduation","Together",40548,0,1,"10-10-2012",31,0,5,2,0,2,2,1,4,5,0,3,11
"32",7373,1952,"PhD","Divorced",46610,0,2,"29-10-2012",8,12,96,33,22,6,4,1,6,6,0,3,11
"33",8755,1946,"Master","Married",68657,0,0,"20-02-2013",4,34,471,119,68,1,3,5,9,7,0,3,11
"34",10738,1951,"Master","Single",49389,1,1,"29-08-2013",55,0,19,2,1,1,2,0,3,7,0,3,11
"35",4339,1970,"PhD","Married",67353,0,1,"31-12-2013",37,17,151,0,8,5,5,6,12,2,0,3,11
"36",10755,1976,"2n Cycle","Married",23718,1,0,"02-09-2013",76,3,14,15,7,3,3,1,2,7,0,3,11
"37",8595,1973,"Graduation","Widow",42429,0,1,"11-02-2014",99,0,6,2,0,2,1,1,3,5,0,3,11
"38",2968,1943,"PhD","Divorced",48948,0,0,"01-02-2013",53,8,206,160,49,2,7,10,5,6,0,3,11
"39",8601,1980,"Graduation","Married",80011,0,1,"29-04-2013",3,76,536,82,178,2,8,6,5,4,0,3,11
"40",503,1985,"Master","Married",20559,1,0,"12-03-2013",88,1,29,3,0,2,2,0,3,8,0,3,11
"41",8430,1957,"Graduation","Together",21994,0,1,"24-12-2012",4,0,6,3,1,1,0,0,3,5,0,3,11
"42",2139,1975,"Master","Married",7500,1,0,"02-10-2013",19,1,10,3,2,3,2,0,3,5,0,3,11
"43",1371,1976,"Graduation","Single",79941,0,0,"28-06-2014",72,164,266,227,30,1,2,4,9,1,0,3,11
"44",9909,1996,"2n Cycle","Married",7500,0,0,"09-11-2012",24,18,14,15,22,3,3,1,3,9,0,3,11
"45",7286,1968,"Graduation","Together",41728,1,0,"24-05-2013",92,6,15,3,5,1,2,0,2,10,0,3,11
"46",6566,1954,"PhD","Married",72550,1,1,"08-11-2012",39,50,317,50,38,9,5,2,12,8,0,3,11
"47",8614,1957,"Graduation","Widow",65486,0,1,"12-05-2014",29,19,125,37,67,1,4,2,10,2,0,3,11
"48",4114,1964,"Master","Married",79143,0,0,"11-08-2012",2,37,780,27,167,1,6,9,13,3,0,3,11
"49",1331,1977,"Graduation","Single",35790,1,0,"02-01-2013",54,6,20,30,1,2,2,0,3,7,0,3,11
"50",2225,1977,"Graduation","Divorced",82582,0,0,"07-06-2014",54,120,550,156,40,1,4,9,7,1,0,3,11
"51",9381,1978,"Graduation","Married",66373,1,1,"12-06-2013",57,9,124,12,24,7,4,2,10,3,0,3,11
"52",6260,1955,"Master","Together",82384,0,0,"19-11-2012",55,51,432,180,120,1,3,10,13,1,0,3,11
"53",10383,1966,"Graduation","Divorced",70287,0,0,"02-04-2013",30,35,482,121,120,1,5,5,10,3,0,3,11
"54",7437,1988,"Graduation","Single",27938,1,0,"28-04-2014",31,0,8,2,1,1,1,0,4,3,0,3,11
"55",8375,1968,"PhD","Married",55954,0,1,"03-03-2014",63,0,28,0,0,3,8,2,6,7,0,3,11
"56",6853,1982,"Master","Single",75777,0,0,"04-07-2013",12,26,538,69,13,1,3,6,11,1,0,3,11
"57",3076,1975,"Graduation","Together",66653,1,1,"07-09-2012",18,18,102,16,18,4,4,2,12,3,0,3,11
"58",1012,1952,"Graduation","Single",61823,0,1,"18-02-2013",26,7,134,37,14,4,8,2,10,7,0,3,11
"59",6518,1951,"PhD","Widow",67680,0,1,"11-06-2013",8,0,48,0,6,1,7,3,8,5,0,3,11
"60",4137,1948,"Graduation","Together",70666,0,0,"06-12-2013",29,40,367,119,122,1,7,4,4,4,0,3,11
"61",8082,1971,"Graduation","Married",25721,1,0,"21-05-2013",75,3,6,3,6,1,1,1,2,7,0,3,11
"62",1386,1967,"Graduation","Together",32474,1,1,"11-05-2014",0,0,1,0,0,1,1,0,2,7,0,3,11
"63",9369,1979,"2n Cycle","Single",88194,0,1,"19-03-2014",19,14,309,201,24,1,11,10,10,5,0,3,11
"64",4477,1958,"Graduation","Together",69096,0,1,"27-09-2013",4,49,159,7,82,1,5,2,10,4,0,3,11
"65",1357,1970,"Graduation","Together",74854,1,2,"08-04-2013",90,59,487,58,29,7,2,5,5,5,0,3,11
"66",1402,1954,"Master","Married",66991,0,0,"11-09-2012",1,36,460,189,60,3,4,8,6,3,0,3,11
"67",6312,1959,"Graduation","Married",65031,0,1,"17-03-2013",29,107,291,84,37,4,10,3,13,7,0,3,11
"68",8132,1975,"PhD","Married",60631,1,1,"05-04-2013",88,6,65,0,6,5,9,2,8,7,0,3,11
"69",1050,1952,"Graduation","Married",28332,0,0,"30-04-2014",58,10,13,4,15,1,2,1,4,2,0,3,11
"70",5846,1977,"Graduation","Divorced",40246,1,0,"19-12-2012",68,1,6,2,1,1,1,0,2,6,0,3,11
"71",1859,1972,"Master","Married",75251,0,0,"27-08-2012",34,111,925,97,18,1,7,6,5,5,0,3,11
"72",7503,1976,"Graduation","Single",75825,0,0,"12-10-2012",40,105,779,137,105,0,5,8,9,4,0,3,11
"73",10401,1976,"2n Cycle","Together",26326,0,0,"04-09-2013",12,0,5,0,3,1,0,0,3,3,1,3,11
"74",1618,1965,"Graduation","Together",56046,0,0,"02-01-2013",9,0,64,0,0,2,10,1,8,8,0,3,11
"75",3332,1985,"Graduation","Single",29760,1,0,"29-08-2012",87,4,68,7,5,4,3,1,4,8,0,3,11
"76",2261,1969,"Graduation","Married",26304,1,0,"23-06-2013",5,1,5,2,0,1,1,0,2,7,0,3,11
"77",5346,1973,"2n Cycle","Married",23559,1,0,"03-07-2013",87,5,19,7,0,3,3,0,3,7,0,3,11
"78",4119,1963,"Master","Together",38620,0,0,"11-05-2013",56,17,44,34,22,1,2,5,3,3,0,3,11
"79",535,1987,"Graduation","Divorced",81361,0,0,"25-02-2014",18,23,424,27,65,1,3,10,13,1,0,3,11
"80",5268,1960,"Graduation","Married",29440,1,1,"11-08-2013",95,8,14,10,4,2,1,0,4,7,0,3,11
"81",273,1970,"Master","Married",36138,1,1,"16-07-2013",48,0,16,0,0,5,3,1,4,7,0,3,11
"82",4452,1957,"Graduation","Single",50388,0,1,"28-05-2014",3,6,37,0,3,4,6,1,6,7,0,3,11
"83",8504,1973,"Graduation","Married",79593,0,0,"12-05-2014",70,60,568,110,133,1,5,6,7,2,0,3,11
"84",771,1967,"Graduation","Together",54178,0,1,"21-01-2014",79,9,39,4,0,1,2,2,5,2,0,3,11
"85",11178,1972,"Master","Single",42394,1,0,"23-03-2014",69,2,10,0,1,1,1,0,3,7,0,3,11
"86",2230,1970,"PhD","Married",23626,1,0,"24-05-2014",84,2,14,0,0,3,3,1,3,5,0,3,11
"87",7516,1983,"Graduation","Married",30096,1,0,"22-05-2014",30,3,11,12,5,1,2,0,3,6,0,3,11
"88",7247,1960,"Graduation","Widow",47916,0,1,"22-11-2012",72,0,26,0,0,5,7,4,6,6,0,3,11
"89",11100,1972,"Graduation","Divorced",51813,1,1,"11-04-2013",37,2,7,0,1,2,2,0,3,7,0,3,11
"90",4646,1951,"2n Cycle","Married",78497,0,0,"01-12-2013",44,26,447,75,0,1,5,7,12,2,0,3,11
"91",3037,1983,"PhD","Married",50150,0,0,"20-06-2013",32,46,92,65,61,2,5,2,7,5,0,3,11
"92",1473,1960,"2n Cycle","Single",47823,0,1,"23-07-2013",0,1,5,2,1,2,2,0,3,8,0,3,11
"93",1016,1959,"PhD","Single",34554,0,1,"30-03-2014",43,1,6,2,0,2,2,0,3,6,0,3,11
"94",4518,1979,"Graduation","Together",85693,0,1,"20-04-2013",59,172,183,185,132,2,9,5,11,5,0,3,11
"95",9370,1945,"PhD","Married",65846,0,0,"17-05-2013",68,81,276,80,40,1,6,3,6,4,0,3,11
"96",8908,1959,"Graduation","Married",87195,0,0,"08-05-2014",35,76,690,50,26,1,3,11,5,1,0,3,11
"97",8373,1979,"Basic","Together",24594,1,0,"10-12-2013",94,3,6,10,0,1,1,0,3,5,0,3,11
"98",7533,1964,"Graduation","Married",49096,1,1,"24-09-2013",15,1,32,2,1,4,4,1,4,7,0,3,11
"99",2683,1969,"Graduation","Married",52413,0,2,"02-02-2013",56,106,271,75,98,4,6,4,12,6,0,3,11
"100",3629,1978,"Graduation","Single",38557,1,0,"19-12-2012",17,3,31,4,4,2,3,1,3,7,0,3,11
"101",10991,1960,"Master","Married",89058,0,0,"07-12-2012",18,194,106,31,22,1,5,4,4,2,0,3,11
"102",5077,1979,"Graduation","Together",77298,0,1,"02-11-2013",46,115,292,23,35,1,6,6,11,3,0,3,11
"103",7431,1991,"PhD","Single",68126,0,0,"10-11-2012",40,17,311,23,51,1,7,4,5,9,0,3,11
"104",3267,1963,"Master","Together",57288,0,1,"25-06-2014",27,0,21,0,0,3,8,1,8,6,0,3,11
"105",999,1991,"Graduation","Single",86037,0,0,"02-01-2013",95,44,125,29,20,1,6,7,11,3,0,3,11
"106",9215,1980,"PhD","Married",43974,1,0,"12-12-2012",19,0,101,0,0,5,6,4,6,7,0,3,11
"107",2286,1962,"Graduation","Single",50785,1,1,"10-09-2013",27,1,21,0,1,2,2,1,3,6,0,3,11
"108",1592,1970,"Graduation","Married",90765,0,0,"24-01-2014",25,99,812,151,82,0,4,6,5,1,0,3,11
"109",367,1978,"2n Cycle","Married",36550,1,0,"19-02-2013",74,90,94,123,103,5,9,1,5,9,0,3,11
"110",5234,1967,"2n Cycle","Together",30753,1,1,"11-07-2013",85,5,25,0,9,2,1,1,3,5,0,3,11
"111",9862,1969,"Graduation","Together",21918,1,0,"14-11-2013",37,6,7,11,5,2,2,0,3,6,0,3,11
"112",9805,1953,"Master","Together",56129,0,1,"20-06-2013",65,48,133,39,72,4,6,2,10,4,0,3,11
"113",6205,1967,"Master","Single",32557,1,0,"24-02-2014",13,3,29,0,4,3,2,1,3,5,0,3,11
"114",8442,1985,"Master","Married",19510,2,0,"04-09-2013",63,0,7,3,4,2,1,0,3,7,0,3,11
"115",7386,1976,"Graduation","Divorced",30992,1,0,"22-04-2013",83,0,14,7,3,1,1,0,3,7,0,3,11
"116",7215,1983,"Graduation","Single",101970,0,0,"12-03-2013",69,27,102,44,72,0,6,8,13,2,0,3,11
"117",1491,1965,"2n Cycle","Together",71488,0,0,"18-02-2013",87,33,124,40,28,2,3,4,7,1,0,3,11
"118",11071,1984,"Graduation","Single",79607,0,0,"21-04-2013",37,133,951,173,0,1,3,6,6,1,0,3,11
"119",3381,1953,"Master","Married",54348,1,1,"08-06-2014",51,0,16,0,0,2,2,0,4,6,0,3,11
"120",11051,1956,"PhD","Together",77376,1,1,"10-05-2014",72,19,110,16,12,4,6,3,10,4,0,3,11
"121",8026,1952,"Graduation","Married",62998,0,1,"30-09-2013",10,58,73,65,89,5,5,4,5,5,0,3,11
"122",433,1958,"Master","Alone",61331,1,1,"10-03-2013",42,5,47,0,5,5,11,1,6,8,0,3,11
"123",9597,1969,"Graduation","Married",73448,0,0,"10-02-2014",10,106,189,23,41,1,7,2,9,4,0,3,11
"124",5290,1964,"PhD","Married",41551,1,1,"14-08-2013",51,0,33,3,0,5,5,1,5,8,0,3,11
"125",1685,1967,"PhD","Together",62981,0,0,"17-03-2013",21,14,590,38,44,1,4,5,13,3,0,3,11
"126",5342,1976,"Basic","Divorced",9548,1,0,"08-08-2012",31,1,3,10,6,2,1,0,3,8,0,3,11
"127",9579,1959,"PhD","Married",33762,2,1,"07-07-2013",61,1,34,2,0,3,2,2,2,8,0,3,11
"128",7660,1973,"PhD","Alone",35860,1,1,"19-05-2014",37,0,8,4,2,2,1,1,2,5,0,3,11
"129",1461,1965,"PhD","Divorced",36921,1,1,"28-07-2013",74,1,12,3,1,2,2,0,3,7,0,3,11
"130",821,1992,"Master","Single",92859,0,0,"19-10-2012",46,61,921,52,61,1,5,4,12,2,0,3,11
"131",11084,1976,"Master","Together",65104,0,1,"14-11-2013",4,0,232,13,20,2,3,5,7,7,0,3,11
"132",8690,1962,"Graduation","Married",86111,0,0,"19-04-2013",73,28,756,36,40,1,5,7,10,2,0,3,11
"133",2937,1974,"PhD","Single",68352,0,1,"28-08-2013",47,16,132,43,33,3,8,5,9,6,0,3,11
"134",9701,1988,"Graduation","Together",41883,1,0,"19-03-2013",13,34,41,73,16,3,4,2,3,7,0,3,11
"135",9949,1976,"Graduation","Married",59809,0,2,"18-10-2012",36,16,141,32,41,3,3,3,6,8,0,3,11
"136",10837,1975,"Graduation","Married",23957,1,0,"28-10-2012",47,1,18,20,11,1,2,0,3,6,0,3,11
"137",3120,1981,"Graduation","Together",38547,1,0,"28-08-2013",49,1,10,0,1,1,1,0,2,8,1,3,11
"138",5885,1973,"2n Cycle","Married",35688,2,1,"22-08-2012",94,3,90,12,1,7,4,1,4,8,0,3,11
"139",4050,1966,"Master","Married",49605,0,0,"21-06-2014",65,16,29,12,20,1,2,1,4,3,0,3,11
"140",3830,1953,"Master","Married",59354,0,2,"24-04-2014",59,21,78,39,13,1,4,4,7,3,0,3,11
"141",7987,1969,"Graduation","Married",65747,0,1,"07-03-2014",96,17,48,23,13,4,8,1,6,6,0,3,11
"142",7798,1972,"2n Cycle","Together",46344,0,1,"14-12-2012",28,20,57,8,20,4,7,1,5,7,0,3,11
"143",92,1988,"Graduation","Alone",34176,1,0,"12-05-2014",12,7,24,19,14,4,3,0,4,6,0,3,11
"144",7055,1952,"PhD","Together",61010,0,1,"09-10-2012",57,0,57,0,0,2,8,5,11,5,0,3,11
"145",10240,1949,"Graduation","Together",69372,0,0,"19-02-2013",10,26,269,34,13,1,10,4,6,4,0,3,11
"146",3025,1958,"Graduation","Single",49967,0,1,"08-07-2013",4,6,69,4,12,3,6,1,5,7,0,3,11
"147",9283,1978,"Graduation","Single",60199,1,2,"12-09-2013",49,1,7,2,0,1,0,0,3,4,0,3,11
"148",9970,1977,"Graduation","Together",55375,0,1,"17-10-2013",3,11,57,10,28,1,1,1,6,2,0,3,11
"149",2730,1955,"Graduation","Single",80317,0,0,"20-08-2013",64,11,387,149,91,1,3,4,10,1,0,3,11
"150",2795,1958,"Master","Single",30523,2,1,"01-07-2013",0,0,3,0,0,1,1,0,2,7,0,3,11
"151",9260,1945,"PhD","Married",70356,0,0,"05-11-2012",20,16,249,43,16,2,10,6,9,6,0,3,11
"152",8182,1984,"Graduation","Married",23228,1,0,"05-01-2014",91,3,49,7,4,4,3,0,4,8,0,3,11
"153",10095,1975,"PhD","Divorced",74165,0,0,"01-05-2013",9,12,240,16,12,1,5,4,10,2,0,3,11
"154",8475,1973,"PhD","Married",157243,0,1,"01-03-2014",98,2,1582,1,2,15,0,22,0,0,0,3,11
"155",4370,1966,"Graduation","Together",43482,2,1,"13-11-2013",83,1,32,6,3,3,2,0,4,6,0,3,11
"156",10573,1953,"Graduation","Divorced",62551,0,0,"18-11-2013",27,16,98,134,21,1,6,7,4,3,0,3,11
"157",3712,1959,"Graduation","Divorced",52332,0,0,"28-08-2013",63,5,33,7,0,1,3,2,6,4,0,3,11
"158",6637,1988,"Graduation","Single",66951,0,0,"02-11-2013",46,162,305,173,76,1,3,4,7,1,0,3,11
"159",3152,1957,"Graduation","Together",26091,1,1,"25-02-2014",84,10,19,8,17,3,2,1,3,5,0,3,11
"160",5610,1965,"Graduation","Together",33456,1,1,"21-04-2014",58,3,10,8,1,2,1,0,3,7,0,3,11
"161",6460,1982,"Graduation","Married",28718,1,0,"13-07-2013",78,4,6,11,8,2,2,0,3,8,0,3,11
"162",1349,1970,"Graduation","Married",50447,2,0,"21-04-2014",4,7,24,2,3,1,3,1,3,6,0,3,11
"163",1880,1959,"PhD","Together",53537,1,1,"30-01-2014",17,0,6,0,0,2,2,1,3,5,0,3,11
"164",641,1967,"Graduation","Single",52074,0,1,"04-04-2014",77,0,12,0,0,1,2,2,2,4,0,3,11
"165",8717,1975,"PhD","Married",80427,0,1,"12-09-2012",56,71,449,69,71,1,11,8,8,5,0,3,11
"166",10314,1948,"PhD","Married",83837,0,0,"16-12-2012",79,66,119,86,89,1,9,10,5,4,0,3,11
"167",10854,1970,"PhD","Married",38853,1,1,"23-05-2014",90,0,14,0,0,2,2,0,3,7,0,3,11
"168",10492,1959,"Graduation","Together",38285,2,1,"24-06-2014",96,0,5,2,0,1,0,0,3,2,0,3,11
"169",6935,1951,"2n Cycle","Married",78497,0,0,"01-12-2013",44,26,447,75,0,1,5,7,12,2,0,3,11
"170",7698,1976,"PhD","Married",51650,0,1,"11-05-2014",81,3,22,2,5,1,4,1,4,5,0,3,11
"171",3559,1988,"2n Cycle","Married",16248,1,0,"10-05-2014",77,11,10,3,12,3,2,1,3,6,0,3,11
"172",10562,1946,"Master","Married",66835,0,0,"28-09-2013",21,26,195,34,17,1,6,4,13,2,0,3,11
"173",10796,1984,"Master","Married",30477,1,0,"22-01-2014",16,1,6,0,0,1,1,1,3,6,0,3,11
"174",2563,1961,"Basic","Married",28249,0,0,"15-06-2014",80,9,7,2,14,1,2,0,3,6,0,3,11
"175",3518,1983,"Graduation","Married",25271,1,0,"05-12-2012",45,1,18,10,4,1,1,1,2,9,0,3,11
"176",5823,1970,"PhD","Single",32303,0,1,"08-03-2014",63,0,2,0,0,2,1,0,4,5,0,3,11
"177",3934,1966,"Graduation","Married",61286,0,1,"02-08-2013",34,0,107,19,9,2,7,1,8,5,0,3,11
"178",6982,1976,"Graduation","Married",74068,0,0,"19-03-2013",14,30,537,140,76,1,4,10,9,2,0,3,11
"179",6431,1964,"PhD","Married",45759,1,1,"23-02-2013",13,1,18,3,0,2,2,0,3,7,0,3,11
"180",9733,1978,"Basic","Together",24882,1,0,"09-09-2012",52,4,10,29,0,1,1,1,2,6,0,3,11
"181",5602,1989,"PhD","Together",66973,0,0,"17-05-2013",98,22,432,147,113,1,8,7,12,3,0,3,11
"182",7829,1900,"2n Cycle","Divorced",36640,1,0,"26-09-2013",99,6,8,7,4,1,2,1,2,5,1,3,11
"183",1324,1988,"Graduation","Married",38872,1,0,"30-05-2013",93,3,21,3,19,2,3,0,3,8,0,3,11
"184",326,1973,"Graduation","Married",51148,1,1,"18-02-2013",38,6,45,8,9,4,5,1,6,6,0,3,11
"185",7224,1977,"Graduation","Married",31353,1,1,"29-12-2013",24,0,10,3,1,2,1,1,2,8,0,3,11
"186",6999,1980,"Master","Married",69661,0,0,"13-05-2014",80,16,106,32,16,1,7,3,12,3,0,3,11
"187",9938,1954,"Graduation","Married",80067,0,0,"19-09-2013",82,17,813,27,173,1,4,6,6,2,0,3,11
"188",6422,1954,"Graduation","Married",86718,0,0,"17-01-2013",20,189,482,50,33,1,5,6,5,2,0,3,11
"189",3182,1973,"PhD","Single",46854,1,1,"31-03-2014",81,1,79,7,1,6,5,1,3,8,0,3,11
"190",7300,1952,"Graduation","Divorced",69142,0,1,"29-06-2014",50,4,34,6,4,3,8,1,7,5,0,3,11
"191",10424,1968,"Graduation","Single",75922,0,0,"09-12-2013",60,138,553,224,23,1,4,4,9,1,0,3,11
"192",8727,1978,"Graduation","Divorced",63693,0,1,"14-10-2013",63,43,337,42,87,3,11,6,9,6,0,3,11
"193",2798,1977,"PhD","Together",102160,0,0,"02-11-2012",54,29,138,76,176,0,7,9,10,4,0,3,11
"194",1030,1965,"PhD","Single",40637,1,1,"17-07-2013",72,0,13,0,0,2,1,0,3,7,0,3,11
"195",624,1984,"Master","Single",18890,0,0,"10-11-2012",5,4,1,7,2,1,0,1,2,6,0,3,11
"196",5176,1988,"Graduation","Together",29604,1,0,"08-12-2013",88,6,13,7,6,1,1,0,3,9,0,3,11
"197",5552,1963,"Master","Divorced",48721,1,1,"13-05-2013",50,18,113,47,13,6,4,2,5,6,0,3,11
"198",868,1966,"Graduation","Married",44794,0,1,"08-06-2014",99,0,7,0,0,1,2,0,3,6,0,3,11
"199",380,1954,"Graduation","Divorced",64497,0,1,"10-09-2012",17,48,320,42,32,5,11,4,9,8,0,3,11
"200",2677,1956,"Graduation","Together",46097,0,1,"31-03-2013",11,24,68,65,4,5,3,1,6,4,0,3,11
"201",6521,1954,"Graduation","Together",77972,0,0,"18-03-2014",18,22,319,33,102,1,4,6,9,1,0,3,11
"202",6927,1968,"PhD","Married",44377,1,1,"05-10-2012",70,0,30,0,0,8,5,1,5,8,0,3,11
"203",2877,1974,"Master","Together",46014,1,1,"21-01-2013",21,0,59,19,9,10,7,1,8,7,0,3,11
"204",0,1985,"Graduation","Married",70951,0,0,"04-05-2013",66,10,554,254,87,1,3,4,9,1,0,3,11
"205",1584,1977,"Graduation","Married",41443,1,0,"01-04-2014",79,7,171,25,19,6,8,1,5,8,0,3,11
"206",7264,1978,"2n Cycle","Single",52195,2,1,"12-05-2014",2,0,4,0,0,1,1,0,2,8,0,3,11
"207",6274,1948,"Master","Married",83790,0,0,"15-11-2013",81,16,417,42,48,1,8,10,6,3,0,3,11
"208",1377,1954,"Master","Widow",44551,0,1,"31-08-2013",24,4,33,0,0,2,4,1,5,7,0,3,11
"209",454,1980,"Graduation","Together",69508,1,0,"14-11-2012",48,32,162,42,32,2,11,4,11,6,0,3,11
"210",1755,1988,"2n Cycle","Together",45204,1,0,"11-04-2014",93,11,25,29,1,1,1,1,4,3,0,3,11
"211",2075,1969,"Graduation","Married",72460,0,0,"14-11-2013",56,10,540,80,30,1,3,5,7,1,0,3,11
"212",4785,1970,"PhD","Together",77622,0,2,"14-04-2014",3,7,154,19,0,2,6,3,11,3,0,3,11
"213",9076,1980,"PhD","Married",30732,1,0,"05-01-2013",44,1,25,0,1,4,4,1,4,8,0,3,11
"214",7079,1962,"Graduation","Divorced",63887,0,1,"08-09-2012",38,23,207,15,11,5,9,6,12,6,0,3,11
"215",4653,1978,"Graduation","Together",42011,1,0,"26-03-2013",46,0,16,2,1,4,3,1,4,8,0,3,11
"216",7375,1976,"Graduation","Together",51369,0,1,"25-10-2012",84,7,79,0,11,2,8,2,4,8,0,3,11
"217",709,1952,"Graduation","Divorced",51537,0,1,"09-12-2012",27,20,204,0,0,3,2,2,11,8,0,3,11
"218",460,1972,"PhD","Married",79930,0,0,"08-08-2012",72,86,740,67,51,1,3,5,8,2,0,3,11
"219",3726,1986,"PhD","Together",34320,1,0,"16-02-2014",66,1,9,3,0,1,1,0,2,8,0,3,11
"220",6798,1966,"Graduation","Single",37070,1,1,"20-03-2013",30,7,137,4,15,9,5,1,8,7,0,3,11
"221",5341,1962,"2n Cycle","Divorced",81975,0,1,"05-01-2013",2,76,184,180,138,1,6,3,4,7,0,3,11
"222",1606,1971,"Graduation","Together",38590,1,0,"15-05-2013",65,1,8,4,3,1,1,0,2,8,0,3,11
"223",9617,1951,"Graduation","Single",15033,0,0,"16-04-2014",37,4,5,6,0,1,1,0,3,3,0,3,11
"224",3233,1965,"PhD","Married",62745,0,1,"23-03-2013",89,21,464,28,10,3,7,8,11,5,0,3,11
"225",89,1975,"2n Cycle","Married",22212,1,0,"09-12-2013",49,9,20,6,8,2,2,0,4,6,0,3,11
"226",2936,1982,"Master","Together",23661,1,0,"04-12-2013",46,0,4,0,0,1,1,0,3,7,0,3,11
"227",9449,1958,"PhD","Single",79761,0,1,"04-10-2013",32,5,124,15,35,1,5,2,11,3,0,3,11
"228",7297,1973,"Graduation","Single",7500,1,0,"26-12-2013",54,3,10,12,7,4,3,1,3,7,0,3,11
"229",11004,1893,"2n Cycle","Single",60182,0,1,"17-05-2014",23,0,5,7,0,1,1,0,2,4,0,3,11
"230",313,1968,"Graduation","Widow",73455,0,0,"28-10-2013",98,61,757,186,163,1,6,5,10,3,0,3,11
"231",9940,1958,"Graduation","Together",64961,0,1,"23-12-2012",97,114,276,75,124,2,6,4,4,3,0,3,11
"232",10735,1971,"Graduation","Single",22804,1,0,"31-07-2013",75,1,7,2,1,1,2,0,2,9,0,3,11
"233",9529,1990,"Graduation","Married",73687,0,0,"28-11-2013",8,153,503,218,13,1,3,9,9,2,0,3,11
