"","student_id","hours_studied","attendance","parental_involvement","access_to_resources","sleep_hours","previous_scores","internet_access","family_income","teacher_quality","school_type","gender","exam_score"
"72",72,29,96,"Medium","Low",7,72,"Yes","Low","Medium","Public","Male",71
"73",73,20,71,"Medium","Medium",7,88,"Yes","Low","Low","Public","Female",65
"74",74,29,92,"Low","Medium",4,91,"Yes","Medium","Medium","Public","Female",72
"75",75,4,100,"High","High",8,60,"Yes","Medium","High","Private","Male",69
"76",76,25,70,"Medium","Medium",7,52,"Yes","Medium","Medium","Public","Female",66
"77",77,21,77,"Low","Medium",7,90,"Yes","Medium","Medium","Private","Male",68
"78",78,18,81,"High","Low",8,71,"Yes","Medium","Medium","Public","Female",65
"79",79,21,72,"Medium","Medium",5,57,"Yes","High","Medium","Public","Male",64
"80",80,8,61,"Medium","Medium",7,54,"Yes","High","Medium","Public","Male",60
"81",81,19,69,"Medium","High",7,82,"Yes","Low","Medium","Public","Male",65
"82",82,22,71,"High","Medium",6,79,"Yes","Low","Low","Public","Male",66
"83",83,29,78,"High","High",4,93,"Yes","Medium","High","Public","Male",74
"84",84,17,67,"Medium","Medium",5,52,"Yes","Medium","Medium","Private","Female",62
"85",85,15,95,"Medium","Medium",7,93,"Yes","Low","Medium","Public","Male",70
"86",86,17,88,"Medium","High",7,94,"Yes","Medium","Medium","Public","Male",69
"87",87,25,63,"Medium","High",7,72,"Yes","Medium","High","Private","Male",67
"88",88,22,86,"Low","Low",6,54,"Yes","Medium","Medium","Public","Male",64
"89",89,17,86,"Medium","High",5,97,"Yes","High","Medium","Public","Male",71
"90",90,23,98,"Medium","Low",7,54,"Yes","Medium","Medium","Public","Female",68
"91",91,21,60,"High","Medium",7,80,"Yes","Medium","High","Public","Male",64
"92",92,26,70,"Medium","Low",8,75,"Yes","Medium","Low","Private","Female",63
"93",93,16,97,"Medium","Medium",6,92,"Yes","High","Medium","Private","Male",71
"94",94,18,97,"High","Medium",4,75,"Yes","Low","Medium","Public","Male",69
"95",95,18,89,"High","Medium",4,73,"Yes","High","Medium","Private","Female",100
"96",96,11,91,"Medium","Medium",6,94,"Yes","Medium","Medium","Public","Male",68
"97",97,22,64,"Low","Medium",7,98,"No","Medium","Medium","Public","Male",62
"98",98,22,81,"Medium","Medium",7,77,"Yes","Medium","Medium","Public","Female",68
"99",99,20,69,"High","High",6,73,"Yes","Low","Medium","Private","Male",66
"100",100,19,67,"Low","Medium",5,92,"Yes","Medium","Medium","Public","Male",64
"101",101,12,92,"Medium","Medium",4,92,"Yes","Medium","High","Public","Male",67
"102",102,17,65,"Medium","High",8,66,"Yes","High","High","Public","Female",65
"103",103,18,79,"Medium","Medium",7,79,"Yes","Low","High","Private","Male",65
"104",104,15,98,"High","Medium",6,58,"Yes","Low","High","Public","Male",69
"105",105,19,67,"Medium","Medium",5,82,"Yes","Low","Low","Private","Male",63
"106",106,22,99,"Medium","Low",6,92,"Yes","Medium","Medium","Public","Male",72
"107",107,31,100,"Medium","Medium",7,59,"Yes","High","High","Public","Male",76
"108",108,21,82,"Medium","High",7,66,"Yes","Low","Medium","Public","Female",69
"109",109,22,67,"Medium","Medium",7,72,"Yes","Low","High","Public","Female",67
"110",110,20,73,"High","Medium",9,92,"Yes","Medium","High","Public","Male",69
"111",111,8,77,"High","Medium",6,87,"Yes","Low","Medium","Public","Male",63
"112",112,20,72,"Medium","Medium",9,66,"Yes","Low","High","Private","Male",67
"113",113,20,71,"Low","High",7,62,"Yes","Medium","Medium","Public","Male",66
"114",114,35,99,"High","High",7,85,"Yes","Medium","High","Private","Female",79
"115",115,19,66,"Medium","Medium",8,74,"Yes","High","Medium","Public","Female",64
"116",116,22,89,"High","High",6,80,"Yes","High","High","Public","Female",73
"117",117,20,60,"Low","High",7,82,"Yes","Low","High","Public","Male",63
"118",118,13,84,"Medium","Medium",5,78,"Yes","Low","High","Public","Male",65
"119",119,27,97,"Low","High",8,81,"Yes","High","Medium","Public","Female",73
"120",120,25,72,"High","High",8,94,"Yes","Low","Medium","Private","Female",70
"121",121,25,67,"High","Medium",9,93,"Yes","Low","High","Public","Female",68
"122",122,15,86,"Medium","Medium",7,57,"Yes","Medium","Medium","Public","Male",65
"123",123,28,89,"Low","High",9,79,"Yes","Low","Medium","Private","Female",71
"124",124,12,88,"Low","Medium",6,72,"Yes","Medium","Medium","Public","Male",64
"125",125,24,73,"Medium","High",8,64,"Yes","High","Medium","Private","Male",68
"126",126,33,70,"Medium","Medium",6,82,"Yes","Low","High","Public","Male",69
"127",127,14,98,"Medium","Medium",7,76,"Yes","Medium","High","Private","Female",69
"128",128,17,97,"Medium","Medium",8,89,"Yes","Low","","Public","Male",69
"129",129,21,78,"Medium","Medium",10,55,"Yes","High","Low","Private","Male",67
"130",130,17,94,"Low","Medium",8,65,"Yes","Medium","Medium","Public","Female",68
"131",131,11,78,"Medium","High",8,51,"Yes","Low","Medium","Public","Male",64
"132",132,20,77,"Medium","Medium",6,87,"Yes","Low","High","Public","Female",66
"133",133,14,66,"High","Low",7,96,"Yes","Low","High","Public","Male",63
"134",134,23,77,"Medium","Medium",7,79,"Yes","Low","High","Public","Male",66
"135",135,14,81,"Medium","Medium",9,81,"Yes","Low","High","Private","Female",66
"136",136,29,61,"Medium","High",7,52,"Yes","Low","Medium","Private","Female",67
"137",137,15,78,"High","High",9,75,"Yes","Low","Medium","Public","Male",65
"138",138,18,91,"Low","Medium",5,76,"Yes","Medium","Medium","Public","Female",68
"139",139,25,87,"Medium","Low",9,52,"Yes","Low","High","Private","Male",68
"140",140,13,85,"High","Medium",6,89,"Yes","High","Medium","Private","Male",65
"141",141,21,96,"Medium","Medium",8,64,"Yes","Medium","High","Public","Male",71
"142",142,28,61,"Medium","High",6,86,"Yes","Low","Medium","Private","Male",65
"143",143,10,82,"Medium","Low",8,70,"Yes","Low","High","Public","Female",64
"144",144,21,91,"High","Medium",6,100,"Yes","High","Medium","Private","Female",72
"145",145,22,82,"Medium","Medium",9,61,"Yes","Low","Medium","Public","Female",65
"146",146,25,73,"Medium","High",8,53,"No","Low","High","Private","Female",66
"147",147,13,65,"Low","High",6,99,"Yes","Low","Medium","Private","Male",61
"148",148,12,96,"Low","High",8,62,"Yes","Medium","High","Public","Female",68
"149",149,23,79,"High","High",8,82,"Yes","Medium","Medium","Public","Female",69
"150",150,22,95,"Medium","High",6,69,"Yes","Low","Medium","Public","Female",72
"151",151,22,83,"Medium","High",5,82,"Yes","Low","High","Public","Female",71
"152",152,22,87,"High","High",5,80,"Yes","Low","High","Public","Female",70
"153",153,16,92,"Medium","High",5,85,"Yes","Low","Medium","Public","Male",68
"154",154,21,86,"Low","Medium",5,51,"Yes","Low","High","Public","Female",67
"155",155,22,76,"Medium","Medium",8,92,"Yes","Low","High","Public","Female",68
"156",156,16,81,"Medium","Medium",8,74,"Yes","Medium","Medium","Public","Female",68
"157",157,31,92,"Medium","Medium",4,76,"Yes","Medium","High","Public","Male",72
"158",158,23,75,"Low","High",6,71,"Yes","Medium","Medium","Public","Male",65
"159",159,13,76,"Medium","High",5,99,"Yes","Medium","Medium","Private","Female",66
"160",160,24,64,"Medium","Medium",8,90,"Yes","Low","High","Public","Male",65
"161",161,14,97,"Medium","Medium",6,66,"Yes","Medium","Medium","Public","Female",67
"162",162,25,64,"Medium","High",5,89,"Yes","Medium","Medium","Public","Male",66
"163",163,27,86,"Medium","Medium",7,72,"Yes","Medium","High","Public","Male",69
"164",164,15,77,"Medium","Medium",8,94,"Yes","High","High","Public","Male",66
"165",165,26,76,"Medium","High",6,52,"Yes","High","Low","Public","Male",69
"166",166,22,87,"High","Low",7,68,"No","Low","Medium","Public","Male",67
"167",167,25,63,"High","Medium",6,71,"Yes","Medium","Low","Private","Male",66
"168",168,31,84,"Medium","Medium",9,87,"Yes","Low","Medium","Private","Male",71
"169",169,19,91,"High","Low",6,59,"Yes","Medium","High","Public","Male",70
"170",170,15,93,"High","Medium",6,64,"Yes","Medium","High","Public","Male",71
"171",171,15,67,"Medium","Medium",7,86,"Yes","High","Medium","Private","Male",66
"172",172,15,96,"Medium","Medium",7,54,"No","Medium","High","Public","Male",67
"173",173,20,86,"High","Low",8,60,"Yes","Medium","Medium","Public","Female",66
"174",174,22,95,"Medium","High",9,88,"Yes","Low","High","Public","Male",72
"175",175,22,79,"Medium","Medium",9,94,"Yes","Medium","Medium","Public","Male",68
"176",176,25,82,"Medium","Medium",6,86,"No","Low","High","Public","Female",69
"177",177,20,97,"Medium","Medium",7,76,"Yes","Low","Low","Private","Male",71
"178",178,29,96,"Medium","Medium",9,55,"No","Medium","Medium","Public","Female",70
"179",179,18,78,"Medium","Medium",9,91,"Yes","High","Low","Public","Female",67
"180",180,36,71,"Medium","Medium",6,56,"Yes","High","Medium","Public","Male",69
"181",181,24,76,"Low","High",8,69,"Yes","Medium","Medium","Public","Male",65
"182",182,15,76,"High","High",8,53,"Yes","Low","Medium","Public","Male",65
"183",183,14,71,"Medium","Medium",8,85,"Yes","Medium","High","Public","Male",64
"184",184,23,71,"Low","Low",9,75,"Yes","Low","Medium","Public","Male",63
"185",185,19,94,"Low","Medium",5,95,"Yes","Low","Low","Public","Male",69
"186",186,24,63,"Medium","Low",6,57,"Yes","Low","High","Private","Female",64
"187",187,23,87,"High","High",8,91,"Yes","High","Medium","Private","Male",72
"188",188,20,67,"Low","Medium",7,76,"Yes","Medium","Medium","Public","Male",63
"189",189,15,74,"Low","High",4,68,"Yes","Low","Medium","Public","Female",64
"190",190,11,62,"Medium","High",5,82,"Yes","High","Medium","Private","Male",64
"191",191,17,71,"Medium","Medium",8,90,"Yes","Medium","Medium","Public","Male",67
"192",192,25,91,"Medium","Medium",8,72,"Yes","Medium","High","Public","Male",71
"193",193,21,95,"Medium","Medium",5,62,"Yes","Medium","Low","Public","Male",70
"194",194,13,69,"Medium","Low",9,96,"Yes","High","Medium","Private","Female",61
"195",195,21,79,"Medium","High",7,66,"Yes","Low","Medium","Public","Male",67
"196",196,22,79,"High","Medium",5,100,"Yes","High","High","Public","Male",72
"197",197,15,95,"Low","Low",6,88,"Yes","Low","Medium","Public","Male",66
"198",198,21,91,"Medium","High",5,84,"Yes","High","Low","Public","Male",70
"199",199,20,81,"High","Medium",6,51,"No","Medium","Medium","Public","Male",67
"200",200,13,87,"High","Low",4,72,"Yes","Medium","High","Public","Female",67
"201",201,22,94,"Low","Medium",7,75,"Yes","High","Medium","Public","Female",71
"202",202,23,60,"High","Medium",8,69,"Yes","Low","Medium","Private","Male",66
"203",203,26,76,"Medium","Medium",5,57,"Yes","Medium","Medium","Public","Male",68
"204",204,26,96,"Medium","Medium",7,68,"Yes","High","Medium","Private","Female",74
"205",205,12,90,"Medium","Low",6,54,"No","High","Medium","Public","Male",64
"206",206,14,82,"Medium","Medium",8,65,"Yes","Low","Medium","Private","Male",65
"207",207,23,81,"Low","Medium",4,54,"Yes","Low","Medium","Public","Male",66
"208",208,23,74,"Medium","High",8,88,"Yes","Medium","High","Public","Male",66
"209",209,23,81,"Medium","Low",4,84,"Yes","Medium","Medium","Public","Male",68
"210",210,43,86,"High","Medium",7,97,"Yes","Medium","High","Public","Female",78
"211",211,23,77,"Medium","High",6,69,"Yes","Medium","Medium","Private","Female",67
"212",212,27,89,"Medium","High",6,89,"Yes","Medium","Medium","Private","Male",74
"213",213,26,94,"Medium","High",5,79,"Yes","Low","High","Public","Male",74
"214",214,24,66,"Medium","Low",9,82,"Yes","Medium","Medium","Public","Female",62
"215",215,18,78,"High","Medium",5,77,"No","Medium","Medium","Public","Male",66
"216",216,25,76,"Medium","Medium",5,89,"Yes","Medium","High","Public","Female",69
"217",217,15,87,"Medium","High",10,52,"Yes","Low","High","Private","Male",68
"218",218,19,70,"Medium","Low",7,54,"Yes","Medium","Medium","Public","Male",89
"219",219,17,86,"High","Low",5,55,"No","High","Medium","Private","Male",66
"220",220,20,95,"Low","Medium",7,64,"No","Medium","High","Public","Female",68
"221",221,34,77,"Medium","Low",7,80,"Yes","Medium","Medium","Public","Male",69
"222",222,9,96,"Medium","Medium",4,82,"No","Low","Medium","Public","Male",67
"223",223,24,100,"High","High",6,86,"Yes","Medium","Medium","Private","Male",75
"224",224,10,64,"Medium","High",7,64,"Yes","Medium","Medium","Public","Female",60
"225",225,17,69,"High","Medium",9,83,"Yes","Medium","High","Private","Female",66
"226",226,27,98,"Low","High",7,56,"Yes","High","Medium","Private","Female",73
"227",227,20,98,"Medium","Low",7,50,"Yes","Medium","High","Private","Female",68
"228",228,14,64,"Medium","Medium",6,85,"Yes","Medium","Medium","Public","Male",62
"229",229,16,61,"Medium","Medium",9,86,"Yes","Low","High","Public","Male",62
"230",230,24,66,"High","Low",8,81,"Yes","Medium","Medium","Public","Male",65
"231",231,16,100,"High","Low",8,63,"Yes","Low","Medium","Public","Male",69
"232",232,21,67,"Medium","Medium",7,96,"Yes","Low","Medium","Public","Female",64
"233",233,20,80,"Medium","High",5,94,"Yes","Low","Low","Private","Female",67
"234",234,16,94,"High","High",9,76,"Yes","Low","High","Public","Male",70
"235",235,33,61,"Medium","Medium",7,99,"Yes","Medium","High","Public","Female",70
"236",236,24,84,"High","Low",7,65,"Yes","Medium","High","Public","Female",69
"237",237,8,71,"High","Low",8,75,"Yes","Medium","High","Public","Male",61
"238",238,21,94,"Medium","Medium",7,96,"Yes","Medium","Medium","Private","Male",69
"239",239,16,71,"High","Medium",5,73,"Yes","Medium","Medium","Public","Male",63
"240",240,25,87,"Medium","Low",7,74,"Yes","Medium","High","Public","Male",67
"241",241,15,87,"Low","Medium",4,54,"Yes","Medium","Medium","Public","Male",65
"242",242,19,69,"Medium","Medium",7,61,"Yes","High","High","Public","Male",66
"243",243,23,61,"Low","Medium",9,58,"Yes","Medium","Medium","Public","Male",63
"244",244,25,76,"Medium","High",4,78,"Yes","Medium","Medium","Private","Female",68
"245",245,13,72,"High","High",7,66,"Yes","Low","High","Public","Male",65
"246",246,18,92,"Low","Medium",8,54,"Yes","Medium","Medium","Public","Male",67
"247",247,17,92,"Low","Low",8,75,"Yes","Medium","High","Public","Female",68
"248",248,16,78,"Medium","High",6,83,"Yes","Low","Low","Public","Male",64
"249",249,31,84,"Medium","Medium",5,87,"Yes","Medium","Medium","Private","Male",71
"250",250,22,84,"Medium","Medium",6,92,"Yes","Medium","Medium","Public","Female",69
"251",251,12,93,"Medium","Medium",9,74,"Yes","Medium","Medium","Public","Male",67
"252",252,26,77,"Low","Medium",4,70,"Yes","High","Low","Public","Female",65
"253",253,33,71,"Low","Medium",5,84,"Yes","Medium","Medium","Public","Male",68
"254",254,26,71,"High","Medium",6,51,"No","High","Medium","Private","Male",67
"255",255,11,81,"Medium","Medium",6,82,"Yes","Medium","High","Public","Male",67
"256",256,17,78,"Medium","High",7,70,"No","Low","High","Public","Male",66
"257",257,28,78,"High","Medium",9,73,"Yes","Medium","Medium","Public","Female",70
"258",258,16,64,"High","Low",5,65,"Yes","Medium","High","Private","Female",65
"259",259,23,89,"Low","Low",7,56,"Yes","Medium","Low","Private","Female",69
"260",260,25,69,"Medium","Medium",7,70,"No","High","High","Public","Female",65
"261",261,14,68,"High","Medium",6,65,"Yes","High","Medium","Public","Male",63
"262",262,20,77,"Medium","Medium",5,98,"Yes","Low","High","Private","Female",67
"263",263,1,69,"High","Medium",6,97,"Yes","Low","Medium","Public","Female",61
"264",264,14,83,"Medium","Low",6,82,"Yes","Medium","Medium","Public","Female",65
"265",265,18,75,"Low","High",8,95,"Yes","Low","Low","Public","Female",66
"266",266,13,78,"Medium","High",8,88,"Yes","High","Low","Public","Male",66
"267",267,30,81,"Medium","Low",5,67,"Yes","High","High","Public","Male",69
"268",268,11,68,"Medium","Medium",6,80,"Yes","Medium","Medium","Public","Female",63
"269",269,17,66,"Low","High",6,61,"Yes","High","Medium","Public","Male",65
"270",270,21,95,"Low","Low",10,84,"Yes","High","Medium","Public","Male",67
"271",271,29,77,"High","High",7,52,"Yes","High","Medium","Public","Female",69
"272",272,11,76,"Low","Medium",5,92,"Yes","Medium","Low","Public","Male",65
"273",273,27,61,"Medium","Medium",6,79,"Yes","Low","Medium","Public","Male",65
"274",274,20,80,"High","Low",6,53,"Yes","Low","Medium","Public","Male",65
"275",275,14,82,"Medium","High",8,94,"Yes","Low","High","Public","Female",67
"276",276,23,82,"Low","Medium",8,94,"Yes","Medium","Medium","Public","Male",66
"277",277,21,88,"Medium","High",7,93,"Yes","Low","Medium","Public","Female",72
"278",278,16,67,"Medium","High",7,89,"Yes","Low","Medium","Public","Male",66
"279",279,20,70,"Medium","Medium",7,84,"No","Medium","High","Private","Male",65
"280",280,18,92,"High","Medium",7,70,"Yes","Low","Medium","Public","Male",69
"281",281,21,98,"Medium","Low",4,57,"Yes","High","Low","Public","Female",68
"282",282,24,65,"Medium","Low",7,64,"Yes","High","Medium","Public","Male",64
"283",283,30,80,"Low","High",6,67,"Yes","Medium","Medium","Public","Female",69
"284",284,13,69,"Medium","Low",5,68,"Yes","High","Medium","Public","Female",59
"285",285,33,62,"High","Medium",10,78,"Yes","Medium","Medium","Private","Female",68
"286",286,8,73,"Medium","Medium",7,60,"No","High","Medium","Private","Female",60
"287",287,19,66,"Medium","High",7,59,"Yes","High","Medium","Public","Male",62
"288",288,24,88,"Low","Medium",6,86,"Yes","Low","Low","Public","Male",67
"289",289,22,81,"Low","High",8,50,"Yes","Medium","Medium","Private","Female",68
"290",290,16,66,"Medium","High",5,57,"Yes","Medium","Medium","Public","Female",64
"291",291,19,60,"Medium","High",7,72,"Yes","Low","High","Public","Female",65
"292",292,17,92,"Low","Low",6,57,"Yes","Medium","Medium","Private","Female",65
"293",293,16,67,"High","Medium",8,98,"Yes","Low","Low","Public","Female",63
"294",294,25,84,"Medium","Low",6,84,"Yes","Medium","High","Public","Male",70
"295",295,22,73,"Low","Medium",9,72,"Yes","Medium","Medium","Public","Female",66
"296",296,16,83,"Medium","High",7,56,"Yes","High","Medium","Public","Female",68
"297",297,25,73,"Low","Low",8,69,"Yes","Medium","Medium","Private","Female",66
"298",298,22,63,"Low","Low",8,83,"Yes","Medium","Medium","Private","Male",63
"299",299,25,69,"High","Medium",9,98,"Yes","Low","Medium","Public","Female",66
"300",300,24,68,"Medium","Medium",6,74,"Yes","Medium","Medium","Public","Female",65
"301",301,15,77,"Medium","Medium",8,85,"Yes","Low","Medium","Public","Male",66
"302",302,17,86,"High","Low",4,60,"Yes","High","Low","Private","Female",67
"303",303,24,71,"Medium","Medium",7,81,"Yes","Low","Medium","Private","Male",66
"304",304,24,60,"Low","Medium",6,62,"Yes","Low","High","Public","Female",63
"305",305,20,81,"Medium","Medium",5,60,"Yes","Medium","Medium","Public","Male",66
"306",306,21,84,"Medium","Medium",6,75,"No","High","Medium","Public","Male",67
"307",307,28,99,"Medium","Medium",6,61,"No","Low","Medium","Public","Male",71
"308",308,16,84,"Medium","High",7,86,"Yes","Low","Medium","Private","Female",67
"309",309,23,79,"Medium","High",6,97,"Yes","High","Low","Public","Male",69
"310",310,19,83,"Medium","Medium",7,70,"Yes","Low","Medium","Public","Female",67
"311",311,19,97,"High","Medium",6,66,"Yes","Medium","Medium","Private","Female",72
"312",312,27,93,"High","Low",6,59,"Yes","Low","Medium","Private","Female",70
"313",313,25,73,"Medium","High",7,70,"Yes","Low","Medium","Private","Male",67
"314",314,25,69,"Low","High",7,78,"Yes","Low","High","Public","Female",64
"315",315,28,71,"Medium","Medium",8,69,"Yes","Medium","High","Private","Female",67
"316",316,20,80,"Low","High",8,81,"Yes","Medium","Medium","Private","Male",69
"317",317,24,90,"Low","Low",7,83,"Yes","Low","Medium","Private","Male",68
"318",318,18,80,"Medium","Medium",8,55,"Yes","Low","Low","Public","Male",63
"319",319,22,63,"Medium","High",7,85,"Yes","High","High","Public","Female",68
"320",320,19,89,"High","Medium",7,95,"Yes","Medium","Medium","Public","Male",70
"321",321,21,92,"Medium","Low",8,51,"Yes","Medium","Medium","Public","Male",66
"322",322,24,72,"High","High",6,78,"Yes","Low","High","Public","Female",68
"323",323,15,87,"High","Low",4,80,"Yes","Low","Medium","Private","Male",67
"324",324,33,77,"Low","High",5,85,"Yes","Low","Medium","Private","Female",69
"325",325,14,96,"Medium","Low",9,69,"Yes","Medium","Medium","Private","Female",66
"326",326,13,94,"Medium","Medium",7,91,"Yes","Low","Medium","Public","Male",68
"327",327,27,81,"Medium","Medium",7,77,"Yes","Medium","Low","Public","Female",69
"328",328,25,88,"Medium","Medium",7,70,"Yes","Medium","Medium","Private","Male",70
"329",329,24,95,"Medium","High",8,86,"Yes","Medium","High","Private","Male",74
"330",330,24,80,"Medium","High",7,96,"Yes","Low","High","Public","Female",70
"331",331,20,73,"Medium","Medium",7,91,"Yes","Medium","High","Public","Male",66
"332",332,15,90,"High","Medium",8,97,"Yes","Low","High","Private","Female",69
"333",333,20,69,"Medium","High",6,63,"Yes","Low","Medium","Public","Male",64
"334",334,16,76,"Low","High",8,56,"No","Low","Medium","Public","Male",62
"335",335,26,95,"Low","High",7,77,"Yes","Medium","Medium","Public","Female",70
"336",336,19,89,"High","Medium",7,52,"Yes","Medium","Medium","Public","Male",68
"337",337,15,76,"Medium","Medium",6,84,"Yes","Medium","High","Public","Female",65
"338",338,18,69,"High","High",7,62,"Yes","Medium","Medium","Public","Male",65
"339",339,22,74,"High","High",6,73,"Yes","High","High","Public","Female",71
"340",340,17,71,"High","Medium",9,83,"Yes","Medium","Medium","Public","Male",66
"341",341,15,67,"Medium","Medium",4,74,"Yes","Low","Medium","Public","Male",61
"342",342,21,90,"Low","Medium",8,62,"Yes","Medium","High","Public","Male",67
"343",343,21,70,"Low","High",4,94,"Yes","Low","High","Private","Male",65
"344",344,17,78,"Medium","High",8,88,"Yes","Low","Medium","Public","Female",65
"345",345,17,75,"Medium","High",6,80,"No","Low","Medium","Private","Male",65
"346",346,21,99,"Medium","Medium",8,85,"Yes","Medium","Medium","Public","Male",73
